Name,School_Nature,School_Type,Affiliation,GEP,IP,Number_of_CCA,CCA_Sum_Score
Admiralty Primary School,Co-Ed School,Government School,No,No,No,19,1803.0
Ahmad Ibrahim Primary School,Co-Ed School,Government School,No,No,No,12,1074.0
Ai Tong School,Co-Ed School,Government-Aided School,No,No,No,12,933.0
Alexandra Primary School,Co-Ed School,Government School,No,No,No,18,1745.0
Anchor Green Primary School,Co-Ed School,Government School,No,No,No,14,1281.0
Anderson Primary School,Co-Ed School,Government School,No,No,No,14,1344.0
Ang Mo Kio Primary School,Co-Ed School,Government School,No,No,No,13,1073.0
Anglo-Chinese School (Junior),Boys School,Government-Aided School,Yes,No,No,16,1610.0
Anglo-Chinese School (Primary),Boys School,Government-Aided School,Yes,Yes,No,21,2096.0
Angsana Primary School,Co-Ed School,Government School,No,No,No,13,1048.0
Beacon Primary School,Co-Ed School,Government School,No,No,No,13,1165.0
Bedok Green Primary School,Co-Ed School,Government School,No,No,No,14,1057.0
Bendemeer Primary School,Co-Ed School,Government School,No,No,No,7,784.0
Blangah Rise Primary School,Co-Ed School,Government School,No,No,No,9,619.0
Boon Lay Garden Primary School,Co-Ed School,Government School,No,No,No,15,1454.0
Bukit Panjang Primary School,Co-Ed School,Government School,No,No,No,20,1763.0
Bukit Timah Primary School,Co-Ed School,Government School,No,No,No,16,1354.0
Bukit View Primary School,Co-Ed School,Government School,No,No,No,17,1553.0
CHIJ (Katong) Primary,Girls School,Government-Aided School,Yes,No,No,15,1547.0
CHIJ (Kellock),Girls School,Government-Aided School,Yes,No,No,9,949.0
CHIJ Our Lady Queen of Peace,Girls School,Government-Aided School,Yes,No,No,9,751.0
CHIJ Our Lady of Good Counsel,Girls School,Government-Aided School,Yes,No,No,11,928.0
CHIJ Our Lady of the Nativity,Girls School,Government-Aided School,Yes,No,No,9,793.0
CHIJ Primary (Toa Payoh),Girls School,Government-Aided School,Yes,No,No,10,1101.0
CHIJ St. Nicholas Girls' School (Primary Section),Girls School,Government-Aided School / Autonomous,Yes,No,Yes,16,1698.0
Canberra Primary School,Co-Ed School,Government School,No,No,No,18,1557.0
Canossa Catholic Primary School,Co-Ed School,Government-Aided School,Yes,No,No,10,825.0
Cantonment Primary School,Co-Ed School,Government School,No,No,No,11,926.0
Casuarina Primary School,Co-Ed School,Government School,No,No,No,15,1136.0
Catholic High School (Primary Section),Boys School,Government-Aided School / Autonomous,Yes,Yes,Yes,12,1130.0
Cedar Primary School,Co-Ed School,Government School,No,No,No,15,1656.0
Changkat Primary School,Co-Ed School,Government School,No,No,No,9,773.0
Chongfu School,Co-Ed School,Government-Aided School,No,No,No,19,1994.0
Chongzheng Primary School,Co-Ed School,Government School,No,No,No,16,1523.0
Chua Chu Kang Primary School,Co-Ed School,Government School,No,No,No,14,1084.0
Clementi Primary School,Co-Ed School,Government School,No,No,No,19,1693.0
Compassvale Primary School,Co-Ed School,Government School,No,No,No,16,1633.0
Concord Primary School,Co-Ed School,Government School,No,No,No,7,708.0
Corporation Primary School,Co-Ed School,Government School,No,No,No,13,1056.0
Damai Primary School,Co-Ed School,Government School,No,No,No,12,1131.0
Dazhong Primary School,Co-Ed School,Government School,No,No,No,9,776.0
De La Salle School,Co-Ed School,Government-Aided School,Yes,No,No,8,537.0
East Spring Primary School,Co-Ed School,Government School,No,No,No,10,821.0
Edgefield Primary School,Co-Ed School,Government School,No,No,No,9,791.0
Elias Park Primary School,Co-Ed School,Government School,No,No,No,8,731.0
Endeavour Primary School,Co-Ed School,Government School,No,No,No,18,1592.0
Evergreen Primary School,Co-Ed School,Government School,No,No,No,7,540.0
Fairfield Methodist School (Primary),Co-Ed School,Government-Aided School,Yes,No,No,13,1166.0
Farrer Park Primary School,Co-Ed School,Government School,No,No,No,0,0.0
Fengshan Primary School,Co-Ed School,Government School,No,No,No,18,1653.0
Fern Green Primary School,Co-Ed School,Government School,No,No,No,10,743.0
Fernvale Primary School,Co-Ed School,Government School,No,No,No,12,1033.0
First Toa Payoh Primary School,Co-Ed School,Government School,No,No,No,7,515.0
Frontier Primary School,Co-Ed School,Government School,No,No,No,15,1402.0
Fuchun Primary School,Co-Ed School,Government School,No,No,No,11,744.0
Fuhua Primary School,Co-Ed School,Government School,No,No,No,12,939.0
Gan Eng Seng Primary School,Co-Ed School,Government School,No,No,No,16,1277.0
