Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken,Name,Phase1_sub_taken,Phase1_sub_apply,Phase2A_sub_taken,Phase2A_sub_apply,Phase2B_sub_taken,Phase2B_sub_apply,Phase2C_sub_taken,Phase2C_sub_apply,After_Phase1_2A_vac,After_Phase2B_vac,After_Phase2C_vac,Phase2A_oversub,Phase2B_oversub,Phase2C_oversub,Phase2A_oversub_count,Phase2B_oversub_count,Phase2C_oversub_count
150,44,22,45,0,0,107,37,49,104,0,-,107,37,22,45,0,-,Admiralty Primary School,71.33333333333334,71.33333333333334,84.0909090909091,84.0909090909091,100.0,222.72727272727272,100.0,231.1111111111111,7,0,0,No,Yes,Yes,No,27,59
130,74,43,129,98,78,56,5,0,31,20,-,56,5,0,31,20,-,Ahmad Ibrahim Primary School,43.07692307692308,43.07692307692308,6.756756756756757,6.756756756756757,0.0,0.0,24.031007751937985,24.031007751937985,69,43,98,No,No,No,No,No,No
240,110,20,42,0,0,130,146,48,86,0,-,130,110,20,42,0,-,Ai Tong School,54.166666666666664,54.166666666666664,100.0,132.72727272727275,100.0,240.0,100.0,204.76190476190476,0,0,0,Yes,Yes,Yes,36,28,44
140,65,39,113,0,0,75,9,4,146,0,-,75,9,4,113,0,-,Alexandra Primary School,53.57142857142857,53.57142857142857,13.846153846153847,13.846153846153847,10.256410256410255,10.256410256410255,100.0,129.20353982300884,56,35,0,No,No,Yes,No,No,33
180,105,40,120,96,0,75,46,0,24,108,-,75,46,0,24,96,-,Anchor Green Primary School,41.66666666666667,41.66666666666667,43.80952380952381,43.80952380952381,0.0,0.0,20.0,20.0,59,40,96,No,No,No,No,No,No
150,59,28,64,0,0,91,36,21,88,0,-,91,36,21,64,0,-,Anderson Primary School,60.66666666666667,60.66666666666667,61.016949152542374,61.016949152542374,75.0,75.0,100.0,137.5,23,7,0,No,No,Yes,No,No,24
150,102,50,149,100,87,48,13,0,49,13,-,48,13,0,49,13,-,Ang Mo Kio Primary School,32.0,32.0,12.745098039215685,12.745098039215685,0.0,0.0,32.88590604026846,32.88590604026846,89,50,100,No,No,No,No,No,No
210,132,27,53,0,0,78,112,57,69,0,-,78,112,27,53,0,-,Anglo-Chinese School (Junior),37.142857142857146,37.142857142857146,84.84848484848484,84.84848484848484,100.0,211.11111111111111,100.0,130.18867924528303,20,0,0,No,Yes,Yes,No,30,16
180,118,28,55,0,0,62,95,55,69,0,-,62,95,28,55,0,-,Anglo-Chinese School (Primary),34.44444444444444,34.44444444444444,80.50847457627118,80.50847457627118,100.0,196.42857142857142,100.0,125.45454545454547,23,0,0,No,Yes,Yes,No,27,14
220,162,67,202,31,0,58,20,0,171,66,-,58,20,0,171,31,-,Angsana Primary School,26.36363636363636,26.36363636363636,12.345679012345679,12.345679012345679,0.0,0.0,84.65346534653465,84.65346534653465,142,67,31,No,No,No,No,No,No
150,82,45,135,102,75,68,7,0,33,27,-,68,7,0,33,27,-,Beacon Primary School,45.33333333333333,45.33333333333333,8.536585365853659,8.536585365853659,0.0,0.0,24.444444444444443,24.444444444444443,75,45,102,No,No,No,No,No,No
180,109,51,152,120,46,71,17,0,32,74,-,71,17,0,32,74,-,Bedok Green Primary School,39.44444444444444,39.44444444444444,15.59633027522936,15.59633027522936,0.0,0.0,21.052631578947366,21.052631578947366,92,51,120,No,No,No,No,No,No
130,78,44,133,74,27,52,5,0,59,47,-,52,5,0,59,47,-,Bendemeer Primary School,40.0,40.0,6.41025641025641,6.41025641025641,0.0,0.0,44.3609022556391,44.3609022556391,73,44,74,No,No,No,No,No,No
60,41,32,96,72,53,19,6,0,24,19,-,19,6,0,24,19,-,Blangah Rise Primary School,31.666666666666664,31.666666666666664,14.634146341463413,14.634146341463413,0.0,0.0,25.0,25.0,35,32,72,No,No,No,No,No,No
240,175,75,225,187,153,65,11,0,38,34,-,65,11,0,38,34,-,Boon Lay Garden Primary School,27.083333333333332,27.083333333333332,6.2857142857142865,6.2857142857142865,0.0,0.0,16.88888888888889,16.88888888888889,164,75,187,No,No,No,No,No,No
180,80,29,65,0,0,100,55,21,80,0,-,100,55,21,65,0,-,Bukit Panjang Primary School,55.55555555555556,55.55555555555556,68.75,68.75,72.41379310344827,72.41379310344827,100.0,123.07692307692308,25,8,0,No,No,Yes,No,No,15
130,71,42,124,45,0,59,6,1,81,63,-,59,6,1,81,45,-,Bukit Timah Primary School,45.38461538461539,45.38461538461539,8.450704225352112,8.450704225352112,2.380952380952381,2.380952380952381,65.32258064516128,65.32258064516128,65,41,43,No,No,No,No,No,No
240,182,77,230,199,66,58,12,0,31,133,-,58,12,0,31,133,-,Bukit View Primary School,24.166666666666668,24.166666666666668,6.593406593406594,6.593406593406594,0.0,0.0,13.478260869565217,13.478260869565217,170,77,199,No,No,No,No,No,No
