Name,CCA,Indicator
Admiralty Primary School,Angklung/Kulintang Ensemble,
Ahmad Ibrahim Primary School,Angklung/Kulintang Ensemble,1.0
Ai Tong School,Angklung/Kulintang Ensemble,
Alexandra Primary School,Angklung/Kulintang Ensemble,
Anchor Green Primary School,Angklung/Kulintang Ensemble,
Anderson Primary School,Angklung/Kulintang Ensemble,1.0
Ang Mo Kio Primary School,Angklung/Kulintang Ensemble,
Anglo-Chinese School (Junior),Angklung/Kulintang Ensemble,
Anglo-Chinese School (Primary),Angklung/Kulintang Ensemble,
Angsana Primary School,Angklung/Kulintang Ensemble,
Beacon Primary School,Angklung/Kulintang Ensemble,
Bedok Green Primary School,Angklung/Kulintang Ensemble,1.0
Bendemeer Primary School,Angklung/Kulintang Ensemble,
Blangah Rise Primary School,Angklung/Kulintang Ensemble,
Boon Lay Garden Primary School,Angklung/Kulintang Ensemble,
Bukit Panjang Primary School,Angklung/Kulintang Ensemble,
Bukit Timah Primary School,Angklung/Kulintang Ensemble,
Bukit View Primary School,Angklung/Kulintang Ensemble,1.0
CHIJ (Katong) Primary,Angklung/Kulintang Ensemble,
CHIJ (Kellock),Angklung/Kulintang Ensemble,
CHIJ Our Lady Queen of Peace,Angklung/Kulintang Ensemble,
CHIJ Our Lady of Good Counsel,Angklung/Kulintang Ensemble,
CHIJ Our Lady of the Nativity,Angklung/Kulintang Ensemble,
CHIJ Primary (Toa Payoh),Angklung/Kulintang Ensemble,
CHIJ St. Nicholas Girls' School (Primary Section),Angklung/Kulintang Ensemble,
Canberra Primary School,Angklung/Kulintang Ensemble,
Canossa Catholic Primary School,Angklung/Kulintang Ensemble,
Cantonment Primary School,Angklung/Kulintang Ensemble,
Casuarina Primary School,Angklung/Kulintang Ensemble,
Catholic High School (Primary Section),Angklung/Kulintang Ensemble,
Cedar Primary School,Angklung/Kulintang Ensemble,
Changkat Primary School,Angklung/Kulintang Ensemble,
Chongfu School,Angklung/Kulintang Ensemble,
Chongzheng Primary School,Angklung/Kulintang Ensemble,1.0
Chua Chu Kang Primary School,Angklung/Kulintang Ensemble,
Clementi Primary School,Angklung/Kulintang Ensemble,
Compassvale Primary School,Angklung/Kulintang Ensemble,
Concord Primary School,Angklung/Kulintang Ensemble,
Corporation Primary School,Angklung/Kulintang Ensemble,
Damai Primary School,Angklung/Kulintang Ensemble,
Dazhong Primary School,Angklung/Kulintang Ensemble,
De La Salle School,Angklung/Kulintang Ensemble,
East Spring Primary School,Angklung/Kulintang Ensemble,
Edgefield Primary School,Angklung/Kulintang Ensemble,1.0
Elias Park Primary School,Angklung/Kulintang Ensemble,
Endeavour Primary School,Angklung/Kulintang Ensemble,
Evergreen Primary School,Angklung/Kulintang Ensemble,
Fairfield Methodist School (Primary),Angklung/Kulintang Ensemble,
Farrer Park Primary School,Angklung/Kulintang Ensemble,
Fengshan Primary School,Angklung/Kulintang Ensemble,
Fern Green Primary School,Angklung/Kulintang Ensemble,
Fernvale Primary School,Angklung/Kulintang Ensemble,
First Toa Payoh Primary School,Angklung/Kulintang Ensemble,
Frontier Primary School,Angklung/Kulintang Ensemble,
Fuchun Primary School,Angklung/Kulintang Ensemble,
Fuhua Primary School,Angklung/Kulintang Ensemble,
Gan Eng Seng Primary School,Angklung/Kulintang Ensemble,
Geylang Methodist School (Primary),Angklung/Kulintang Ensemble,1.0
Gongshang Primary School,Angklung/Kulintang Ensemble,
Greendale Primary School,Angklung/Kulintang Ensemble,
Greenridge Primary School,Angklung/Kulintang Ensemble,
Greenwood Primary School,Angklung/Kulintang Ensemble,1.0
Haig Girls' School,Angklung/Kulintang Ensemble,
Henry Park Primary School,Angklung/Kulintang Ensemble,
Holy Innocents' Primary School,Angklung/Kulintang Ensemble,
Hong Wen School,Angklung/Kulintang Ensemble,
Horizon Primary School,Angklung/Kulintang Ensemble,
Hougang Primary School,Angklung/Kulintang Ensemble,1.0
Huamin Primary School,Angklung/Kulintang Ensemble,1.0
Innova Primary School,Angklung/Kulintang Ensemble,
Jiemin Primary School,Angklung/Kulintang Ensemble,1.0
Jing Shan Primary School,Angklung/Kulintang Ensemble,
Junyuan Primary School,Angklung/Kulintang Ensemble,
Jurong Primary School,Angklung/Kulintang Ensemble,
Jurong West Primary School,Angklung/Kulintang Ensemble,
Keming Primary School,Angklung/Kulintang Ensemble,
Kheng Cheng School,Angklung/Kulintang Ensemble,1.0
Kong Hwa School,Angklung/Kulintang Ensemble,
Kranji Primary School,Angklung/Kulintang Ensemble,
Kuo Chuan Presbyterian Primary School,Angklung/Kulintang Ensemble,
Lakeside Primary School,Angklung/Kulintang Ensemble,
Lianhua Primary School,Angklung/Kulintang Ensemble,
Maha Bodhi School,Angklung/Kulintang Ensemble,
Maris Stella High School (Primary Section),Angklung/Kulintang Ensemble,
Marsiling Primary School,Angklung/Kulintang Ensemble,
Marymount Convent School,Angklung/Kulintang Ensemble,
Mayflower Primary School,Angklung/Kulintang Ensemble,
Mee Toh School,Angklung/Kulintang Ensemble,
Meridian Primary School,Angklung/Kulintang Ensemble,
Methodist Girls' School (Primary),Angklung/Kulintang Ensemble,
Montfort Junior School,Angklung/Kulintang Ensemble,
Nan Chiau Primary School,Angklung/Kulintang Ensemble,
Nan Hua Primary School,Angklung/Kulintang Ensemble,
Nanyang Primary School,Angklung/Kulintang Ensemble,
Naval Base Primary School,Angklung/Kulintang Ensemble,
New Town Primary School,Angklung/Kulintang Ensemble,
Ngee Ann Primary School,Angklung/Kulintang Ensemble,
North Spring Primary School,Angklung/Kulintang Ensemble,
North View Primary School,Angklung/Kulintang Ensemble,
North Vista Primary School,Angklung/Kulintang Ensemble,
Northland Primary School,Angklung/Kulintang Ensemble,
Northoaks Primary School,Angklung/Kulintang Ensemble,
Northshore Primary School,Angklung/Kulintang Ensemble,
Oasis Primary School,Angklung/Kulintang Ensemble,
Opera Estate Primary School,Angklung/Kulintang Ensemble,
Palm View Primary School,Angklung/Kulintang Ensemble,
Park View Primary School,Angklung/Kulintang Ensemble,
Pasir Ris Primary School,Angklung/Kulintang Ensemble,
Paya Lebar Methodist Girls' School (Primary),Angklung/Kulintang Ensemble,1.0
Pei Chun Public School,Angklung/Kulintang Ensemble,
Pei Hwa Presbyterian Primary School,Angklung/Kulintang Ensemble,
