Name,Affiliation,School_Nature,School_Type,Programmes,CCA
Admiralty Primary School,,"About
School mode:
Full day session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Sustainability
Design Thinking for Sustainability (DTS @ Admiralty)
Learning for Life Programme (LLP)
Community Service & Student Leadership
High Performance Mind-set for Personal Leadership","Football (Girls and Boys)
Track and Field (Girls)
Wushu (Girls and Boys)
Rope Skipping (Girls and Boys)
Modular CCA (Sports) (Girls and Boys)
Scouts (Boys)
Girl Guides (Brownies) (Girls)
Choir (Girls and Boys)
Guitar Ensemble (Girls and Boys)
Guzheng Ensemble (Girls and Boys)
Chinese Dance (Girls)
Indian Dance (Girls and Boys)
Malay Dance (Girls and Boys)
Art and Crafts (Girls and Boys)
English Language, Drama and Debating (Girls and Boys)
Photography (Girls and Boys)
Infocomm Technology (Computing) (Girls and Boys)
Design and Innovation (Girls and Boys)
Environmental Science (Girls and Boys)"
Ahmad Ibrahim Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Sustainability
Sustainability Education – Nurturing Students to be Stewards of Our Environment
Learning for Life Programme (LLP)
Community Service & Student Leadership
The 3Rs – Leader U Development programme- From Values to Action: Developing Community-based Student Leaders","Badminton (Girls and Boys)
Rope Skipping (Girls and Boys)
Scouts (Girls and Boys)
Angklung/Kulintang Ensemble (Girls and Boys)
Choir (Girls and Boys)
Harmonica Ensemble (Girls and Boys)
Chinese Dance (Girls and Boys)
Indian Dance (Girls and Boys)
Malay Dance (Girls and Boys)
Art and Crafts (Girls and Boys)
Photography (Girls and Boys)
Robotics (Girls and Boys)"
Ai Tong School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government-Aided School
School fees:
Check monthly school fees","Programmes
Special Assistance Plan (SAP)
Applied Learning Programme (ALP)
Innovation & Enterprise
iDARE @ ATS
Learning for Life Programme (LLP)
Sports & Outdoor Education
L.E.A.D.: Character and Leadership Development through Outdoor Education Programme","Badminton (Girls and Boys)
Track and Field (Girls and Boys)
Table Tennis (Girls and Boys)
Wushu (Girls and Boys)
Volleyball (Girls and Boys)
Scouts (Boys)
Girl Guides (Brownies) (Girls)
Choir (Girls and Boys)
Guzheng Ensemble (Girls and Boys)
Chinese Dance (Girls)
Art and Crafts (Girls and Boys)
Robotics (Girls and Boys)"
Alexandra Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Material Science
Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)
Learning for Life Programme (LLP)
Community Service & Student Leadership
Cultural Intelligence (CQ) ─ The Code of Life","Badminton (Girls and Boys)
Basketball (Boys)
Rugby (Boys)
Softball (Girls)
Track and Field (Girls and Boys)
Table Tennis (Girls and Boys)
Scouts (Girls and Boys)
Choir (Girls and Boys)
Modern Dance (Girls and Boys)
English Drama (Girls and Boys)
Chinese Drums (Girls and Boys)
Art and Crafts (Girls and Boys)
International Chess (Girls and Boys)
Chinese Culture and Language (Girls and Boys)
Robotics (Girls and Boys)
Environmental Science (Girls and Boys)
Infocomm Technology (Media Production) (Girls and Boys)
Cheerleading (Girls)"
Anchor Green Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
Interdisciplinary
Empowering Learners to be Environmental Activists (ELEA)
Learning for Life Programme (LLP)
Music & Performing Arts
A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)","Basketball (Boys)
Netball (Girls)
Wushu (Girls and Boys)
Floorball (Boys)
Scouts (Girls and Boys)
Choir (Girls and Boys)
Guzheng Ensemble (Girls and Boys)
Modern Dance (Girls and Boys)
English Drama (Girls and Boys)
Chinese Drums (Girls and Boys)
International Chess (Girls and Boys)
Robotics (Girls and Boys)
Environmental Science (Girls and Boys)
Infocomm Technology (Media Production) (Girls and Boys)"
Anderson Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Material Science
Eureka!
Learning for Life Programme (LLP)
Music & Performing Arts
VIVACE! - Values Inculcation Via Arts and Creative Experiences","Badminton (Girls and Boys)
Basketball (Girls and Boys)
Football (Girls and Boys)
Volleyball (Girls and Boys)
Boys' Brigade (Boys)
Girls' Brigade (Girls)
Angklung/Kulintang Ensemble (Girls and Boys)
Guitar Ensemble (Girls and Boys)
Brass Band (Girls and Boys)
Guzheng Ensemble (Girls and Boys)
English Drama (Girls and Boys)
Art and Crafts (Girls and Boys)
Robotics (Girls and Boys)
Infocomm Technology (Media Production) (Girls and Boys)"
Ang Mo Kio Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
Languages
POISE@AMKP – Programme to develop Outstanding, Inspired and SEnsitive communicators at Ang Mo Kio Primary School
Learning for Life Programme (LLP)
Community Service & Student Leadership
Nurturing the Confident AMKPian","Badminton (Girls and Boys)
Basketball (Boys)
Football (Boys)
Track and Field (Girls and Boys)
Table Tennis (Girls and Boys)
Red Cross Youth (Girls and Boys)
Scouts (Girls and Boys)
Brass Band (Girls and Boys)
Modern Dance (Girls and Boys)
English Drama (Girls and Boys)
Art and Crafts (Girls and Boys)
Infocomm Technology (Computing) (Girls and Boys)
Robotics (Girls and Boys)"
Anglo-Chinese School (Junior),"Affiliations
Anglo-Chinese School (Independent) (Secondary)
Anglo-Chinese School (Barker Road)","About
School mode:
Single session
School nature:
Boys School","School type:
Government-Aided School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
Interdisciplinary
Creative Thinkers
Learning for Life Programme (LLP)
Sports & Outdoor Education
All for Sports, Sports for All @ ACS(Junior)","Badminton (Boys)
Rugby (Boys)
Football (Boys)
Sailing (Boys)
Table Tennis (Boys)
Tennis (Boys)
Bowling (Boys)
Boys' Brigade (Boys)
Scouts (Boys)
Choir (Boys)
String Ensemble (Boys)
Modern Dance (Boys)
Concert Band (Boys)
Art and Crafts (Boys)
International Chess (Boys)
Physical Science (Boys)"
Anglo-Chinese School (Primary),"Affiliations
Anglo-Chinese School (Independent) (Secondary)
Anglo-Chinese School (Barker Road)","About
School mode:
Single session
School nature:
Boys School","School type:
Government-Aided School
School fees:
Check monthly school fees","Programmes
Gifted Education Programme
Applied Learning Programme (ALP)
Languages
Dream it, Do it
Learning for Life Programme (LLP)
Sports & Outdoor Education
Building Character Through Sports","Badminton (Boys)
Basketball (Boys)
Rugby (Boys)
Football (Boys)
Swimming (Boys)
Track and Field (Boys)
Tennis (Boys)
Floorball (Boys)
Bowling (Boys)
Boys' Brigade (Boys)
Scouts (Boys)
Choir (Boys)
Guitar Ensemble (Boys)
String Ensemble (Boys)
Modern Dance (Boys)
Art and Crafts (Boys)
Audio Visual Aid (Boys)
International Chess (Boys)
Infocomm Technology (Computing) (Boys)
Robotics (Boys)
Physical Science (Boys)"
Angsana Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Sustainability
Nurturing Problem Solvers through Computational Thinking
Learning for Life Programme (LLP)
Community Service & Student Leadership
Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes","Badminton (Girls and Boys)
Netball (Girls)
Football (Boys)
Wushu (Girls and Boys)
Red Cross Youth (Girls and Boys)
Scouts (Girls and Boys)
Choir (Girls and Boys)
Modern Dance (Girls)
Concert Band (Girls and Boys)
Art and Crafts (Girls and Boys)
Infocomm Technology (Media Production) (Girls and Boys)
Physical Science (Girls and Boys)
Student Leadership (Prefect) (Girls and Boys)"
Beacon Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
STEM - Sustainability
Beacon Environmental Stewardship
Learning for Life Programme (LLP)
Community Service & Student Leadership
BEACON FUTURE READY PROGRAMME (BFRP) - Beacon At Your Service (BAYS)","Basketball (Boys)
Netball (Girls)
Football (Boys)
Wushu (Girls and Boys)
Tchoukball (Girls and Boys)
Outdoor Adventure (Girls and Boys)
Scouts (Girls and Boys)
Choir (Girls and Boys)
Percussion Ensemble (Girls and Boys)
Ukulele Ensemble (Girls and Boys)
Art and Crafts (Girls and Boys)
Robotics (Girls and Boys)
Environmental Science (Girls and Boys)"
Bedok Green Primary School,,"About
School mode:
Single session
School nature:
Co-Ed School","School type:
Government School
School fees:
Check monthly school fees","Applied Learning Programme (ALP)
Interdisciplinary
Environmental Education (E2@BGPS)
Learning for Life Programme (LLP)
Sports & Outdoor Education
Sports and Aesthetics To Reinforce Values Education (STRIVE @ BGPS)","Badminton (Girls and Boys)
Basketball (Girls and Boys)
Rugby (Boys)
Football (Girls and Boys)
Scouts (Boys)
Girl Guides (Brownies) (Girls)
Angklung/Kulintang Ensemble (Girls and Boys)
Choir (Girls and Boys)
Guzheng Ensemble (Girls and Boys)
Chinese Dance (Girls and Boys)
Malay Dance (Girls and Boys)
English Drama (Girls and Boys)
Art and Crafts (Girls and Boys)
Infocomm Technology (Media Production) (Girls and Boys)"
