School_Name,Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken
Admiralty,150,44,22,45,0,0,107,37,49,104,0,-,107,37,22,45,0,-
Ahmad Ibrahim,130,74,43,129,98,78,56,5,0,31,20,-,56,5,0,31,20,-
Ai Tong,240,110,20,42,0,0,130,146,48,86,0,-,130,110,20,42,0,-
Alexandra,140,65,39,113,0,0,75,9,4,146,0,-,75,9,4,113,0,-
Anchor Green,180,105,40,120,96,0,75,46,0,24,108,-,75,46,0,24,96,-
Anderson,150,59,28,64,0,0,91,36,21,88,0,-,91,36,21,64,0,-
Ang Mo Kio,150,102,50,149,100,87,48,13,0,49,13,-,48,13,0,49,13,-
Anglo-Chinese (Junior),210,132,27,53,0,0,78,112,57,69,0,-,78,112,27,53,0,-
Anglo-Chinese (Primary),180,118,28,55,0,0,62,95,55,69,0,-,62,95,28,55,0,-
Angsana,220,162,67,202,31,0,58,20,0,171,66,-,58,20,0,171,31,-
Beacon,150,82,45,135,102,75,68,7,0,33,27,-,68,7,0,33,27,-
Bedok Green,180,109,51,152,120,46,71,17,0,32,74,-,71,17,0,32,74,-
Bendemeer,130,78,44,133,74,27,52,5,0,59,47,-,52,5,0,59,47,-
Blangah Rise,60,41,32,96,72,53,19,6,0,24,19,-,19,6,0,24,19,-
Boon Lay Garden,240,175,75,225,187,153,65,11,0,38,34,-,65,11,0,38,34,-
Bukit Panjang,180,80,29,65,0,0,100,55,21,80,0,-,100,55,21,65,0,-
Bukit Timah,130,71,42,124,45,0,59,6,1,81,63,-,59,6,1,81,45,-
Bukit View,240,182,77,230,199,66,58,12,0,31,133,-,58,12,0,31,133,-
Canberra,180,94,43,112,0,0,86,25,19,146,0,-,86,25,19,112,0,-
Canossa Catholic,60,26,27,64,4,0,34,6,16,60,23,-,34,6,16,60,4,-
Cantonment,120,76,45,136,93,46,44,2,0,43,47,-,44,2,0,43,47,-
Casuarina,100,40,28,84,29,0,60,16,0,55,37,-,60,16,0,55,29,-
Catholic High,180,110,20,40,0,0,70,149,43,68,0,-,70,110,20,40,0,-
Cedar,180,147,62,187,145,71,33,20,0,42,74,-,33,20,0,42,74,-
Changkat,150,97,48,146,97,79,53,12,0,49,18,-,53,12,0,49,18,-
CHIJ (Katong),140,101,43,112,59,2,39,33,16,53,57,-,39,33,16,53,57,-
