School_Name,Name
Admiralty,Admiralty Primary School
Ahmad Ibrahim,Ahmad Ibrahim Primary School
Ai Tong,Ai Tong School
Alexandra,Alexandra Primary School
Anchor Green,Anchor Green Primary School
Anderson,Anderson Primary School
Ang Mo Kio,Ang Mo Kio Primary School
Anglo-Chinese (Junior),Anglo-Chinese School (Junior)
Anglo-Chinese (Primary),Anglo-Chinese School (Primary)
Angsana,Angsana Primary School
Beacon,Beacon Primary School
Bedok Green,Bedok Green Primary School
Bendemeer,Bendemeer Primary School
Blangah Rise,Blangah Rise Primary School
Boon Lay Garden,Boon Lay Garden Primary School
Bukit Panjang,Bukit Panjang Primary School
Bukit Timah,Bukit Timah Primary School
Bukit View,Bukit View Primary School
CHIJ (Katong),CHIJ (Katong) Primary
CHIJ (Kellock),CHIJ (Kellock)
CHIJ (Toa Payoh),CHIJ Primary (Toa Payoh)
CHIJ Our Lady Queen of Peace,CHIJ Our Lady Queen of Peace
CHIJ Our Lady of Good Counsel,CHIJ Our Lady of Good Counsel
CHIJ Our Lady of The Nativity,CHIJ Our Lady of the Nativity
CHIJ St. Nicholas Girls’,CHIJ St. Nicholas Girls' School (Primary Section)
Canberra,Canberra Primary School
Canossa Catholic,Canossa Catholic Primary School
Cantonment,Cantonment Primary School
Casuarina,Casuarina Primary School
Catholic High,Catholic High School (Primary Section)
Cedar,Cedar Primary School
Changkat,Changkat Primary School
Chongfu,Chongfu School
Chongzheng,Chongzheng Primary School
Chua Chu Kang,Chua Chu Kang Primary School
Clementi,Clementi Primary School
Compassvale,Compassvale Primary School
Concord,Concord Primary School
Corporation,Corporation Primary School
Damai,Damai Primary School
Dazhong,Dazhong Primary School
De La Salle,De La Salle School
East Spring,East Spring Primary School
Edgefield,Edgefield Primary School
Elias Park,Elias Park Primary School
Endeavour,Endeavour Primary School
Evergreen,Evergreen Primary School
Fairfield Methodist,Fairfield Methodist School (Primary)
Farrer Park,Farrer Park Primary School
Fengshan,Fengshan Primary School
Fern Green,Fern Green Primary School
Fernvale,Fernvale Primary School
